;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
163;2020;0;1;6.00;5.50;17.00;126.00;6.00;11.00;26.00;7.00;9.50;26.00;13.00;11.00;41.00;36.00;31.00;51.00
164;2020;1;1;8.50;6.00;13.00;67.00;7.50;11.00;26.00;8.00;9.00;20.00;14.00;9.50;26.00;31.00;23.00;31.00
165;2020;0;1;7.50;6.00;15.00;81.00;6.50;11.00;26.00;7.50;9.00;21.00;14.00;10.00;36.00;36.00;26.00;36.00
166;2020;0;0;6.50;5.50;15.00;101.00;6.00;9.50;23.00;8.00;9.00;21.00;15.00;11.00;36.00;46.00;36.00;51.00
167;2020;1;2;7.50;6.00;15.00;91.00;8.50;17.00;51.00;6.00;12.00;36.00;9.00;8.00;46.00;21.00;19.00;31.00
168;2020;1;2;6.00;6.00;19.00;151.00;8.00;20.00;67.00;5.00;14.00;51.00;8.50;9.00;71.00;19.00;21.00;46.00
169;2020;2;2;11.00;6.00;11.00;46.00;9.00;13.00;26.00;9.50;8.50;19.00;14.00;9.00;23.00;26.00;19.00;23.00
170;2020;1;1;11.00;8.50;20.00;101.00;19.00;51.00;176.00;5.50;23.00;91.00;5.50;7.00;91.00;8.50;11.00;26.00
171;2020;1;0;8.00;6.50;17.00;101.00;5.50;7.50;15.00;10.00;8.00;15.00;23.00;14.00;31.00;81.00;46.00;61.00
172;2020;1;0;10.00;7.50;18.00;91.00;14.00;36.00;126.00;5.00;19.00;71.00;6.50;7.00;76.00;10.00;13.00;26.00
173;2020;3;1;15.00;9.00;17.00;81.00;21.00;51.00;176.00;6.00;23.00;76.00;6.00;7.00;71.00;8.50;10.00;21.00
174;2020;4;0;9.50;6.00;12.00;56.00;9.50;15.00;36.00;7.50;10.00;23.00;11.00;8.00;31.00;21.00;17.00;23.00
175;2020;0;0;6.50;5.50;15.00;91.00;7.00;13.00;41.00;6.00;10.00;31.00;10.00;9.50;46.00;26.00;23.00;41.00
176;2020;0;2;14.00;7.50;12.00;51.00;15.00;26.00;67.00;7.50;14.00;36.00;8.50;7.00;34.00;13.00;11.00;18.00
177;2020;1;2;8.00;6.00;13.00;76.00;8.00;13.00;31.00;7.00;10.00;23.00;11.00;9.00;34.00;26.00;21.00;31.00
178;2020;1;2;7.00;5.50;15.00;91.00;7.00;12.00;31.00;7.00;9.50;23.00;13.00;10.00;36.00;31.00;26.00;41.00
179;2020;1;1;15.00;8.00;14.00;61.00;19.00;36.00;101.00;7.00;18.00;51.00;7.50;7.00;46.00;10.00;10.00;18.00
180;2020;2;0;8.00;6.00;15.00;81.00;9.50;20.00;56.00;6.00;12.00;36.00;9.00;8.00;46.00;17.00;17.00;26.00
181;2020;1;2;11.00;6.50;12.00;51.00;7.50;9.50;18.00;11.00;7.50;14.00;19.00;11.00;21.00;46.00;26.00;31.00
182;2020;2;3;7.50;5.50;14.00;91.00;6.50;11.00;26.00;8.00;8.50;21.00;14.00;10.00;34.00;36.00;26.00;36.00
183;2020;4;2;8.50;6.50;15.00;101.00;11.00;26.00;81.00;5.50;15.00;46.00;7.00;7.50;61.00;14.00;15.00;26.00
184;2020;0;1;9.50;6.50;14.00;71.00;6.50;8.00;15.00;11.00;7.50;14.00;21.00;13.00;23.00;67.00;36.00;41.00
185;2020;2;0;8.00;6.00;15.00;81.00;6.00;9.50;21.00;8.50;8.50;19.00;17.00;11.00;31.00;46.00;34.00;41.00
186;2020;0;2;7.00;5.50;15.00;91.00;7.00;13.00;34.00;6.50;10.00;26.00;12.00;9.50;41.00;26.00;23.00;41.00
187;2020;2;1;7.00;5.50;15.00;91.00;7.50;14.00;36.00;6.50;10.00;31.00;10.00;9.00;41.00;23.00;21.00;36.00
188;2020;0;0;8.00;6.00;15.00;91.00;10.00;23.00;81.00;5.50;14.00;41.00;7.50;7.50;56.00;15.00;15.00;26.00
189;2020;0;1;6.00;5.50;17.00;101.00;6.50;13.00;36.00;6.00;10.00;26.00;11.00;10.00;51.00;26.00;26.00;46.00
190;2020;4;0;15.00;7.00;10.00;26.00;12.00;17.00;31.00;11.00;9.00;18.00;14.00;8.50;18.00;23.00;15.00;17.00
191;2020;1;0;8.50;6.00;14.00;81.00;9.50;17.00;41.00;6.50;11.00;31.00;9.50;8.00;41.00;20.00;17.00;26.00
192;2020;1;1;9.00;6.00;13.00;67.00;9.50;15.00;41.00;7.00;11.00;26.00;10.00;8.00;34.00;20.00;17.00;26.00
193;2020;2;2;6.50;6.50;21.00;151.00;11.00;26.00;126.00;4.50;19.00;81.00;6.50;8.00;101.00;13.00;17.00;41.00
194;2020;0;1;7.00;6.00;17.00;101.00;5.50;8.00;17.00;9.50;8.00;18.00;21.00;14.00;31.00;67.00;46.00;61.00
195;2020;1;1;7.50;5.50;15.00;91.00;7.50;15.00;41.00;6.00;10.00;26.00;11.00;9.00;41.00;23.00;21.00;36.00
196;2020;2;1;17.00;10.00;19.00;81.00;23.00;61.00;201.00;6.50;23.00;101.00;6.00;7.00;81.00;8.00;9.50;21.00
197;2020;2;1;6.50;6.00;18.00;126.00;8.00;17.00;56.00;5.50;13.00;46.00;9.00;8.50;61.00;21.00;21.00;41.00
198;2020;2;1;8.50;6.00;15.00;91.00;10.00;21.00;61.00;6.00;12.00;36.00;8.50;7.50;46.00;17.00;15.00;26.00
199;2020;3;0;10.00;6.00;12.00;51.00;9.00;14.00;34.00;8.00;9.50;21.00;12.00;8.50;26.00;23.00;18.00;23.00
200;2020;1;1;7.50;5.50;14.00;81.00;7.00;11.00;26.00;7.50;9.50;23.00;13.00;10.00;31.00;34.00;26.00;36.00
201;2020;3;1;9.50;6.00;13.00;61.00;10.00;18.00;46.00;6.50;11.00;26.00;10.00;7.50;36.00;19.00;15.00;26.00
202;2020;1;4;11.00;6.50;12.00;46.00;12.00;23.00;56.00;7.00;12.00;26.00;9.00;7.50;31.00;15.00;13.00;20.00
203;2020;1;0;7.00;5.50;15.00;91.00;6.50;11.00;26.00;7.50;9.00;21.00;13.00;10.00;36.00;36.00;26.00;41.00
204;2020;0;1;6.50;5.50;15.00;101.00;8.00;17.00;51.00;5.50;12.00;36.00;9.50;9.00;51.00;21.00;21.00;36.00
205;2020;1;0;7.50;6.00;15.00;91.00;6.50;10.00;23.00;8.00;9.00;20.00;14.00;10.00;31.00;41.00;26.00;36.00
206;2020;1;0;7.50;5.50;14.00;81.00;8.00;14.00;36.00;6.50;10.00;26.00;10.00;9.00;36.00;23.00;21.00;31.00
207;2020;2;2;8.50;6.00;13.00;71.00;8.50;15.00;36.00;7.00;10.00;26.00;10.00;8.50;36.00;23.00;19.00;26.00
208;2020;1;2;6.50;5.50;15.00;91.00;7.50;15.00;46.00;6.00;11.00;31.00;10.00;9.00;41.00;23.00;23.00;36.00
209;2020;2;2;8.50;6.00;13.00;67.00;7.50;12.00;26.00;8.00;8.50;21.00;14.00;9.50;26.00;31.00;21.00;31.00
210;2020;0;3;7.00;6.00;15.00;91.00;6.00;9.00;21.00;8.50;8.50;19.00;17.00;12.00;31.00;56.00;36.00;46.00
211;2020;3;1;7.50;5.50;14.00;76.00;7.50;13.00;36.00;7.00;10.00;26.00;11.00;9.00;36.00;26.00;23.00;34.00
212;2020;0;0;26.00;13.00;20.00;71.00;41.00;91.00;201.00;8.50;36.00;101.00;7.00;7.50;81.00;7.50;8.50;18.00
213;2020;2;1;8.00;6.00;15.00;91.00;10.00;20.00;67.00;5.50;13.00;41.00;8.50;8.00;46.00;17.00;15.00;26.00
214;2020;2;0;17.00;9.00;15.00;61.00;21.00;46.00;151.00;7.50;19.00;61.00;7.00;7.00;51.00;9.50;10.00;18.00
215;2020;1;2;6.00;5.50;17.00;126.00;6.50;12.00;36.00;6.00;10.00;31.00;12.00;10.00;51.00;26.00;26.00;41.00
