;Ano;FT_Odds_H;FT_Odds_A;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
346;2022;2.55;1.53;1;1;6.00;5.50;18.00;101.00;8.00;15.00;51.00;5.50;12.00;41.00;9.50;9.00;61.00;23.00;21.00;41.00
347;2022;1.11;5.50;2;2;10.00;8.00;20.00;126.00;5.00;6.00;10.00;15.00;7.00;12.00;41.00;20.00;26.00;176.00;76.00;81.00
348;2022;3.20;1.42;1;0;8.00;6.00;15.00;91.00;9.50;21.00;67.00;5.50;13.00;41.00;8.00;8.00;51.00;17.00;15.00;31.00
349;2022;2.75;1.45;0;1;8.50;6.00;14.00;76.00;9.50;18.00;56.00;6.00;12.00;34.00;9.00;8.00;41.00;18.00;17.00;26.00
350;2022;2.55;1.47;3;2;6.00;5.50;18.00;126.00;7.50;15.00;51.00;5.50;12.00;36.00;9.50;9.00;56.00;23.00;23.00;41.00
351;2022;2.25;1.60;1;1;9.00;6.00;13.00;67.00;9.00;15.00;41.00;7.00;10.00;26.00;10.00;8.50;36.00;21.00;18.00;26.00
352;2022;2.88;1.38;0;1;5.50;6.00;20.00;151.00;8.00;20.00;76.00;5.00;14.00;51.00;8.00;9.00;71.00;19.00;21.00;41.00
353;2022;2.40;1.53;3;0;7.00;5.50;15.00;101.00;7.50;15.00;46.00;6.00;11.00;34.00;10.00;8.50;46.00;23.00;21.00;36.00
354;2022;10.00;1.04;2;2;15.00;12.00;31.00;176.00;31.00;91.00;201.00;5.50;46.00;176.00;5.00;8.00;151.00;6.50;10.00;31.00
355;2022;3.30;1.30;0;1;7.00;6.00;19.00;126.00;10.00;21.00;91.00;5.00;15.00;51.00;7.50;8.00;67.00;15.00;18.00;36.00
356;2022;3.20;1.35;3;0;8.00;6.00;15.00;101.00;10.00;21.00;67.00;5.50;13.00;41.00;8.00;7.50;51.00;15.00;15.00;26.00
357;2022;1.45;2.60;1;0;9.50;6.00;13.00;67.00;7.00;9.50;19.00;10.00;7.50;15.00;17.00;11.00;26.00;51.00;26.00;36.00
358;2022;1.57;2.30;1;1;8.00;5.50;14.00;81.00;7.00;11.00;23.00;8.00;9.00;19.00;14.00;10.00;31.00;36.00;26.00;36.00
359;2022;2.60;1.47;0;0;10.00;6.00;12.00;56.00;10.00;19.00;51.00;7.00;11.00;26.00;9.50;7.50;31.00;18.00;15.00;23.00
360;2022;3.60;1.25;1;3;8.50;6.50;15.00;91.00;11.00;23.00;71.00;5.50;14.00;46.00;7.50;7.50;51.00;14.00;14.00;26.00
361;2022;1.45;2.50;0;1;7.00;6.00;15.00;101.00;6.00;9.50;21.00;8.50;8.50;19.00;15.00;11.00;34.00;46.00;34.00;46.00
362;2022;2.25;1.63;2;1;7.50;5.50;15.00;91.00;7.50;14.00;41.00;6.50;10.00;26.00;11.00;9.00;36.00;23.00;21.00;34.00
363;2022;3.30;1.33;4;0;8.50;6.50;15.00;81.00;11.00;23.00;71.00;5.50;13.00;41.00;8.00;7.50;51.00;15.00;15.00;26.00
364;2022;3.60;1.28;3;1;10.00;6.50;14.00;71.00;12.00;26.00;71.00;6.00;14.00;41.00;8.00;7.00;46.00;13.00;13.00;23.00
365;2022;2.88;1.42;2;1;8.00;6.00;15.00;81.00;10.00;20.00;61.00;6.00;12.00;36.00;8.50;8.00;51.00;17.00;17.00;26.00
366;2022;1.75;1.95;0;1;5.50;5.50;18.00;151.00;6.00;11.00;31.00;6.50;10.00;26.00;13.00;10.00;51.00;41.00;31.00;61.00
367;2022;3.00;1.44;4;1;6.00;6.00;19.00;151.00;9.00;21.00;71.00;5.00;14.00;51.00;8.00;8.50;76.00;19.00;20.00;41.00
368;2022;5.50;1.12;3;0;8.50;7.50;23.00;176.00;14.00;41.00;176.00;4.50;21.00;91.00;5.50;7.50;101.00;10.00;14.00;36.00
369;2022;1.13;4.00;1;1;9.00;7.50;18.00;101.00;5.00;6.00;11.00;14.00;7.00;13.00;34.00;19.00;26.00;126.00;71.00;76.00
370;2022;2.20;1.60;2;2;7.00;5.50;15.00;91.00;7.50;14.00;36.00;6.00;10.00;26.00;11.00;9.50;41.00;26.00;23.00;34.00
371;2022;1.75;1.95;1;0;5.50;5.50;18.00;151.00;6.00;11.00;31.00;6.50;10.00;31.00;13.00;11.00;51.00;36.00;34.00;56.00
372;2022;4.80;1.20;4;0;9.50;7.50;17.00;101.00;13.00;34.00;101.00;5.00;18.00;71.00;6.50;7.50;67.00;11.00;13.00;26.00
373;2022;3.30;1.38;0;1;7.00;6.00;18.00;126.00;9.50;23.00;81.00;5.00;15.00;56.00;7.50;8.00;67.00;15.00;18.00;36.00
374;2022;5.50;1.16;2;0;12.00;8.00;17.00;91.00;17.00;41.00;126.00;6.00;20.00;76.00;6.50;7.00;67.00;9.50;11.00;23.00
375;2022;2.10;1.78;1;3;6.50;5.50;15.00;91.00;7.00;14.00;41.00;6.00;11.00;26.00;11.00;9.50;41.00;26.00;23.00;41.00
376;2022;3.30;1.33;3;0;7.50;6.00;17.00;101.00;10.00;21.00;71.00;5.50;15.00;51.00;7.50;7.50;56.00;15.00;17.00;31.00
377;2022;6.50;1.12;2;3;10.00;8.50;20.00;101.00;15.00;46.00;176.00;5.00;21.00;81.00;5.50;7.50;81.00;9.50;12.00;26.00
378;2022;1.33;2.65;1;1;9.00;6.00;14.00;81.00;6.50;8.50;15.00;10.00;7.50;15.00;21.00;12.00;26.00;61.00;36.00;41.00
379;2022;4.00;1.25;0;0;7.00;6.50;21.00;126.00;10.00;23.00;91.00;5.00;17.00;67.00;7.00;8.00;81.00;14.00;15.00;36.00
